pub_date	title	venue	excerpt	citation	url_slug	paper_url
2019	Towards connecting biodiversity and geodiversity across scales with satellite remote sensing.	Global Ecology and Biogeography	This paper is about the number 1. The number 2 is left for future work.	Zarnetske, P. L., Q. D. Read, S. Record, K. Gaddis, S. Pau, M. Hobi, S. L. Malone, J. K. Costanza, K. M. Dahlin, A. Latimer, A. M. Wilson, J. M. Grady, S. Ollinger, A. O. Finley. 2019. Towards connecting biodiversity and geodiversity across scales with satellite remote sensing. Global Ecology and Biogeography. DOI: 10.1111/geb.12887.	zarnetske-et-al-2019	http://academicpages.github.io/files/paper1.pdf
2019	Fungal colonization of plant roots is resistant to nitrogen addition and resilient to dominant species losses.	Ecosphere	Description	Henning, J. A., Q. D. Read, N. J. Sanders, and A. T. Classen. 2019. Fungal colonization of plant roots is resistant to nitrogen addition and resilient to dominant species losses. Ecosphere. DOI: 10.1002/ecs2.2640.	henning-et-al-2019
2018	Size, niches, and the latitudinal diversity gradient.	Description	Grady, J. M., Q. D. Read, S. Record, P. L. Zarnetske., B. Baiser, K. Thorne, and J. Belmaker. 2018. Size, niches, and the latitudinal diversity gradient. Teaching Issues and Experiments in Ecology, Vol. 14, Figure Set 1.	grady-et-al-2018	http://tiee.esa.org/vol/v14/issues/figure_sets/grady/abstract.html
2018	Among-species overlap in rodent body size distributions predicts species richness along a temperature gradient.	Ecography	Description	Read, Q. D., J. M. Grady, P. L. Zarnetske, S. Record, B. Baiser, J. Belmaker, M.-N. Tuanmu, A. Strecker, L. Beaudrot, and K. M. Thibault. 2018. Among-species overlap in rodent body size distributions predicts species richness along a temperature gradient. Ecography. DOI: 10.1111/ecog.03641	read-et-al-2018-ecography
2018	Tropical bird species have less variable body sizes.	Biology Letters	Description	Read, Q. D., B. Baiser, J. M. Grady, P. L. Zarnetske, S. Record, and J. Belmaker. 2018. Tropical bird species have less variable body sizes. Biology Letters 20170453. DOI: 10.1098/rsbl.2017.0453	read-et-al-2018-biology-letters
2018	Aboveground resilience to species loss but belowground resistance to nitrogen addition in montane plant communities.	Journal of Plant Ecology	Description	Read, Q. D., J. A. Henning, A. T. Classen, and N. J. Sanders. 2018. Aboveground resilience to species loss but belowground resistance to nitrogen addition in montane plant communities. Journal of Plant Ecology. DOI: 10.1093/jpe/rtx015	read-et-al-2018-j-plant-ecology
2018	Short-term responses to warming vary between native vs. exotic species and with latitude in an early successional plant community.	Oecologia	Description	Welshofer, K. B., P. L. Zarnetske, N. K. Lany, and Q. D. Read. 2018. Short-term responses to warming vary between native vs. exotic species and with latitude in an early successional plant community. Oecologia. DOI: h10.1007/s00442-018-4111-9	welshofer-et-al-2018
2017	Intraspecific variation in traits reduces ability of trait-based models to predict community structure.	Journal of Vegetation Science	Description	Read, Q. D., J. A. Henning, and N. J. Sanders. 2017. Intraspecific variation in traits reduces ability of trait-based models to predict community structure. Journal of Vegetation Science. DOI: 10.1111/jvs.12555	read-et-al-2017-j-veg-sci
2017	Consistently inconsistent drivers of patterns of microbial diversity and abundance at macroecological scales.	Ecology	Description	Hendershot, J. N.*, Q. D. Read, J. A. Henning, N. J. Sanders, and A. T. Classen. 2017. Consistently inconsistent drivers of patterns of microbial diversity and abundance at macroecological scales. Ecology. DOI: 10.1002/ecy.1829	hendershot-et-al-2017
Butler, E. E., A. Datta, …, Q. D. Read, …, and P. B. Reich. 2017. Mapping local and global variability in plant trait distributions. Proceedings of the National Academy of Sciences. DOI:10.1073/pnas.1708984114 	butler-et-al-2017
2016	Accounting for the nested nature of genetic variation across levels of organization improves our understanding of biodiversity and community ecology.	Oikos	Description. Awarded Editor's Choice.	Read, Q. D., S. M. Hoban, M. B. Eppinga, J. A. Schweitzer, and J. K. Bailey. 2016. Accounting for the nested nature of genetic variation across levels of organization improves our understanding of biodiversity and community ecology. Oikos 125:895-904. DOI:  10.1111/oik.02760	read-et-al-2016-oikos
2016	Plant-soil feedbacks: connecting ecosystem ecology and evolution.	Functional Ecology	Description	Van Nuland, M. E., R. C. Wooliver, A. A. Pfennigwerth, Q. D. Read, I. M. Ware, L. Mueller, J. A. Fordyce, J. A. Schweitzer, and J. K. Bailey. 2016. Plant-soil feedbacks: connecting ecosystem ecology and evolution. Functional Ecology. DOI: 10.1111/1365-2435.12690	vannuland-et-al-2016
2016	Consequences of exotic host use: impacts on Lepidoptera and a test of the ecological trap hypothesis.	Oecologia	Description	Yoon, S. A.* and Q. D. Read. 2016. Consequences of exotic host use: impacts on Lepidoptera and a test of the ecological trap hypothesis. Oecologia. DOI: 10.1007/s00442-016-3560-2	yoon-and-read-2016
2015	Preparing biology graduate teaching assistants for their roles as instructors: an assessment of institutional approaches.	CBE-Life Sciences Education	Description	Schussler, E. E., Q. D. Read, G. Marbach-Ad, K. Miller, and M. Ferzli. 2015. Preparing biology graduate teaching assistants for their roles as instructors: an assessment of institutional approaches. CBE-Life Sciences Education 14:1-11. DOI: 10.1187/cbe.14-11-0196	schussler-et-al-2015
2014	Convergent effects of elevation on functional leaf traits within and among species.	Functional Ecology	Description. Nominated for the British Ecological Society's Haldane Prize for Young Investigators	Read, Q. D., L. C. Moorhead, N. G. Swenson, J. K. Bailey, and N. J. Sanders. 2014. Convergent effects of elevation on functional leaf traits within and among species. Functional Ecology 28:37-45. DOI: 10.1111/1365-2435.12162	read-et-al-2014-functional-ecology
2013	Phylogenetic similarity aboveground leads to community similarity belowground through conservatism of functional traits.	Annals of Botany Plants	Description. Awarded Editor's Choice.	Gorman, C. E., Q. D. Read, M. E. Van Nuland, and others. 2013. Phylogenetic similarity aboveground leads to community similarity belowground through conservatism of functional traits. Annals of Botany Plants plt049. DOI: 10.1093/aobpla/plt049	gorman-et-al-2013
2013	Fire promotes pollinator visitation: implications for ameliorating declines of pollination services.	PLoS One	Description	Van Nuland, M. E., E. N. Haag, J. A. Bryant, Q. D. Read, and others. 2013. Fire promotes pollinator visitation: implications for ameliorating declines of pollination services. PLoS One 8:e79853. DOI: 10.1371/journal.pone.0079853	vannuland-et-al-2013
2012	Evidence from individual inference for high-dimensional coexistence: long term experiments on recruitment response.	PLoS One	Description	Soltoff, B. D., A. S. Powell, Q. D. Read, and J. S. Clark. 2012. Evidence from individual inference for high-dimensional coexistence: long term experiments on recruitment response. PLoS One 7:e30050. DOI: 10.1371/journal.pone.0030050	soltoff-et-al-2012
